共創情報学研究室,片桐,katagiri
共創情報学研究室,大崎,ohsaki
応用メディア情報研究室,大久保,okubo
応用メディア情報研究室,土屋,tsuchiya
応用メディア情報研究室,井本,imoto
ネットワーク情報システム研究室,佐藤,sato
ネットワーク情報システム研究室,小板,koita
社会情報学研究室,下原,shimohara
社会情報学研究室,タネヴ,tanev
知能メカトロ情報システム研究室,高橋,takahashi
音声言語処理機構研究室,田村,tamura
